,repo_name,commits,committers,month
0,astropy/astropy-healpix,10,1,2016-09-05 16:15:34
1,astropy/astropy-healpix,15,2,2016-10-05 16:15:34
2,astropy/astropy-healpix,0,1,2016-11-04 16:15:34
3,astropy/astropy-healpix,0,1,2016-12-04 16:15:34
4,astropy/astropy-healpix,0,1,2017-01-03 16:15:33
5,astropy/astropy-healpix,0,1,2017-02-02 16:15:33
6,astropy/astropy-healpix,0,1,2017-03-04 16:15:33
7,astropy/astropy-healpix,0,1,2017-04-03 16:15:33
8,astropy/astropy-healpix,0,1,2017-05-03 16:15:33
9,astropy/astropy-healpix,0,1,2017-06-02 16:15:33
10,astropy/astropy-healpix,0,1,2017-07-02 16:15:33
11,astropy/astropy-healpix,0,1,2017-08-01 16:15:33
12,astropy/astropy-healpix,146,2,2017-08-31 16:15:33
13,astropy/astropy-healpix,97,3,2017-09-30 16:15:33
14,astropy/astropy-healpix,0,1,2017-10-30 16:15:33
15,astropy/astropy-healpix,0,1,2017-11-29 16:15:33
16,astropy/astropy-healpix,0,1,2017-12-29 16:15:33
17,astropy/astropy-healpix,1,1,2018-01-28 16:15:33
18,astropy/astropy-healpix,0,1,2018-02-27 16:15:33
19,astropy/astropy-healpix,8,5,2018-03-29 16:15:33
20,astropy/astropy-healpix,7,2,2018-04-28 16:15:33
21,astropy/astropy-healpix,13,2,2018-05-28 16:15:33
22,astropy/astropy-healpix,6,3,2018-06-27 16:15:33
23,astropy/astropy-healpix,0,1,2018-07-27 16:15:33
24,astropy/astropy-healpix,17,3,2018-08-26 16:15:33
25,astropy/astropy-healpix,10,2,2018-09-25 16:15:33
26,astropy/astropy-healpix,7,1,2018-10-25 16:15:33
27,astropy/astropy-healpix,7,4,2018-11-24 16:15:33
28,astropy/astropy-healpix,16,1,2018-12-24 16:15:33
29,astropy/astropy-healpix,0,1,2019-01-23 16:15:33
30,astropy/astropy-healpix,0,1,2019-02-22 16:15:33
31,astropy/astropy-healpix,0,1,2019-03-24 16:15:33
32,astropy/astropy-healpix,2,1,2019-04-23 16:15:33
33,astropy/astropy-healpix,4,2,2019-05-23 16:15:33
34,astropy/astropy-healpix,14,1,2019-06-22 16:15:33
35,astropy/astropy-healpix,0,1,2019-07-22 16:15:33
36,astropy/astropy-healpix,0,1,2019-08-21 16:15:33
37,astropy/astropy-healpix,0,1,2019-09-20 16:15:33
38,astropy/astropy-healpix,0,1,2019-10-20 16:15:33
39,astropy/astropy-healpix,26,1,2019-11-19 16:15:33
40,astropy/astropy-healpix,0,1,2019-12-19 16:15:33
41,astropy/astropy-healpix,0,1,2020-01-18 16:15:33
42,astropy/astropy-healpix,0,1,2020-02-17 16:15:33
43,astropy/astropy-healpix,0,1,2020-03-18 16:15:33
44,astropy/astropy-healpix,13,2,2020-04-17 16:15:33
45,astropy/astropy-healpix,2,1,2020-05-17 16:15:33
46,astropy/astropy-healpix,0,1,2020-06-16 16:15:33
47,astropy/astropy-healpix,1,1,2020-07-16 16:15:33
48,astropy/astropy-healpix,0,1,2020-08-15 16:15:33
49,astropy/astropy-healpix,4,3,2020-09-14 16:15:33
50,astropy/astropy-healpix,0,1,2020-10-14 16:15:33
51,astropy/astropy-healpix,0,1,2020-11-13 16:15:33
52,astropy/astropy-healpix,0,1,2020-12-13 16:15:33
53,astropy/astropy-healpix,0,1,2021-01-12 16:15:33
54,astropy/astropy-healpix,4,1,2021-02-11 16:15:33
55,astropy/astropy-healpix,9,2,2021-03-13 16:15:33
56,astropy/astropy-healpix,0,1,2021-04-12 16:15:33
57,astropy/astropy-healpix,0,1,2021-05-12 16:15:33
58,astropy/astropy-healpix,0,1,2021-06-11 16:15:33
59,astropy/astropy-healpix,0,1,2021-07-11 16:15:33
60,astropy/astropy-healpix,0,1,2021-08-10 16:15:33
61,astropy/astropy-healpix,3,1,2021-09-09 16:15:33
62,astropy/astropy-healpix,1,1,2021-10-09 16:15:33
63,astropy/astropy-healpix,11,3,2021-11-08 16:15:33
64,astropy/astropy-healpix,3,2,2021-12-08 16:15:33
65,astropy/astropy-healpix,0,1,2022-01-07 16:15:33
66,astropy/astropy-healpix,0,1,2022-02-06 16:15:33
67,astropy/astropy-healpix,0,1,2022-03-08 16:15:33
68,astropy/astropy-healpix,0,1,2022-04-07 16:15:33
69,astropy/astropy-healpix,2,1,2022-05-07 16:15:33
70,astropy/astropy-healpix,19,3,2022-06-06 16:15:33
71,astropy/astropy-healpix,0,1,2022-07-06 16:15:33
72,astropy/astropy-healpix,1,1,2022-08-05 16:15:33
73,astropy/astropy-healpix,11,3,2022-09-04 16:15:33
74,astropy/astropy-healpix,0,1,2022-10-04 16:15:33
75,astropy/astropy-healpix,0,1,2022-11-03 16:15:33
76,astropy/astropy-healpix,1,1,2022-12-03 16:15:33
77,astropy/astropy-healpix,0,1,2023-01-02 16:15:33
78,astropy/astropy-healpix,0,1,2023-02-01 16:15:33
79,astropy/astropy-healpix,4,1,2023-03-03 16:15:33
80,astropy/astropy-healpix,0,1,2023-04-02 16:15:33
81,astropy/astropy-healpix,0,2,2023-05-02 16:15:33
82,astropy/astropy-healpix,2,2,2023-06-01 16:15:33
83,astropy/astropy-healpix,6,2,2023-07-01 16:15:33
84,astropy/astropy-healpix,13,2,2023-07-31 16:15:33
85,astropy/astropy-healpix,3,3,2023-08-30 16:15:33
86,astropy/astropy-healpix,0,1,2023-09-29 16:15:33
