,repo_name,commits,committers,month
0,astropy/astropy,54,4,2011-07-25 21:01:42
1,astropy/astropy,6,1,2011-08-24 21:01:42
2,astropy/astropy,110,6,2011-09-23 21:01:42
3,astropy/astropy,233,6,2011-10-23 21:01:42
4,astropy/astropy,218,9,2011-11-22 21:01:42
5,astropy/astropy,137,6,2011-12-22 21:01:42
6,astropy/astropy,154,6,2012-01-21 21:01:42
7,astropy/astropy,60,6,2012-02-20 21:01:42
8,astropy/astropy,48,5,2012-03-21 21:01:42
9,astropy/astropy,124,5,2012-04-20 21:01:42
10,astropy/astropy,292,10,2012-05-20 21:01:42
11,astropy/astropy,88,9,2012-06-19 21:01:42
12,astropy/astropy,104,9,2012-07-19 21:01:41
13,astropy/astropy,175,7,2012-08-18 21:01:41
14,astropy/astropy,167,9,2012-09-17 21:01:41
15,astropy/astropy,377,11,2012-10-17 21:01:41
16,astropy/astropy,293,9,2012-11-16 21:01:41
17,astropy/astropy,211,9,2012-12-16 21:01:41
18,astropy/astropy,557,15,2013-01-15 21:01:41
19,astropy/astropy,193,10,2013-02-14 21:01:41
20,astropy/astropy,260,14,2013-03-16 21:01:41
21,astropy/astropy,571,23,2013-04-15 21:01:41
22,astropy/astropy,280,12,2013-05-15 21:01:41
23,astropy/astropy,204,20,2013-06-14 21:01:41
24,astropy/astropy,370,17,2013-07-14 21:01:41
25,astropy/astropy,373,18,2013-08-13 21:01:41
26,astropy/astropy,456,15,2013-09-12 21:01:41
27,astropy/astropy,746,22,2013-10-12 21:01:41
28,astropy/astropy,254,17,2013-11-11 21:01:41
29,astropy/astropy,144,14,2013-12-11 21:01:41
30,astropy/astropy,451,24,2014-01-10 21:01:41
31,astropy/astropy,553,27,2014-02-09 21:01:41
32,astropy/astropy,410,23,2014-03-11 21:01:41
33,astropy/astropy,575,24,2014-04-10 21:01:41
34,astropy/astropy,663,28,2014-05-10 21:01:41
35,astropy/astropy,618,22,2014-06-09 21:01:41
36,astropy/astropy,325,26,2014-07-09 21:01:41
37,astropy/astropy,258,20,2014-08-08 21:01:41
38,astropy/astropy,385,17,2014-09-07 21:01:41
39,astropy/astropy,308,14,2014-10-07 21:01:41
40,astropy/astropy,429,29,2014-11-06 21:01:41
41,astropy/astropy,752,27,2014-12-06 21:01:41
42,astropy/astropy,510,28,2015-01-05 21:01:41
43,astropy/astropy,356,19,2015-02-04 21:01:41
44,astropy/astropy,254,20,2015-03-06 21:01:41
45,astropy/astropy,179,17,2015-04-05 21:01:41
46,astropy/astropy,266,15,2015-05-05 21:01:41
47,astropy/astropy,318,18,2015-06-04 21:01:41
48,astropy/astropy,297,24,2015-07-04 21:01:40
49,astropy/astropy,243,20,2015-08-03 21:01:40
50,astropy/astropy,457,28,2015-09-02 21:01:40
51,astropy/astropy,298,16,2015-10-02 21:01:40
52,astropy/astropy,213,15,2015-11-01 21:01:40
53,astropy/astropy,183,17,2015-12-01 21:01:40
54,astropy/astropy,380,23,2015-12-31 21:01:40
55,astropy/astropy,134,19,2016-01-30 21:01:40
56,astropy/astropy,237,23,2016-02-29 21:01:40
57,astropy/astropy,136,25,2016-03-30 21:01:40
58,astropy/astropy,645,32,2016-04-29 21:01:40
59,astropy/astropy,440,27,2016-05-29 21:01:40
60,astropy/astropy,120,19,2016-06-28 21:01:40
61,astropy/astropy,82,15,2016-07-28 21:01:40
62,astropy/astropy,186,17,2016-08-27 21:01:40
63,astropy/astropy,125,16,2016-09-26 21:01:40
64,astropy/astropy,163,22,2016-10-26 21:01:40
65,astropy/astropy,634,26,2016-11-25 21:01:40
66,astropy/astropy,137,20,2016-12-25 21:01:40
67,astropy/astropy,237,23,2017-01-24 21:01:39
68,astropy/astropy,157,23,2017-02-23 21:01:39
69,astropy/astropy,85,18,2017-03-25 21:01:39
70,astropy/astropy,319,25,2017-04-24 21:01:39
71,astropy/astropy,908,34,2017-05-24 21:01:39
72,astropy/astropy,409,22,2017-06-23 21:01:39
73,astropy/astropy,221,22,2017-07-23 21:01:39
74,astropy/astropy,198,21,2017-08-22 21:01:39
75,astropy/astropy,535,25,2017-09-21 21:01:39
76,astropy/astropy,204,21,2017-10-21 21:01:39
77,astropy/astropy,367,29,2017-11-20 21:01:39
78,astropy/astropy,277,21,2017-12-20 21:01:39
79,astropy/astropy,370,20,2018-01-19 21:01:39
80,astropy/astropy,165,20,2018-02-18 21:01:39
81,astropy/astropy,149,23,2018-03-20 21:01:39
82,astropy/astropy,226,25,2018-04-19 21:01:39
83,astropy/astropy,232,23,2018-05-19 21:01:39
84,astropy/astropy,159,21,2018-06-18 21:01:39
85,astropy/astropy,257,25,2018-07-18 21:01:39
86,astropy/astropy,94,20,2018-08-17 21:01:39
87,astropy/astropy,294,20,2018-09-16 21:01:39
88,astropy/astropy,805,32,2018-10-16 21:01:39
89,astropy/astropy,342,21,2018-11-15 21:01:39
90,astropy/astropy,156,15,2018-12-15 21:01:39
91,astropy/astropy,125,19,2019-01-14 21:01:39
92,astropy/astropy,201,24,2019-02-13 21:01:39
93,astropy/astropy,134,25,2019-03-15 21:01:39
94,astropy/astropy,448,30,2019-04-14 21:01:39
95,astropy/astropy,271,19,2019-05-14 21:01:39
96,astropy/astropy,476,24,2019-06-13 21:01:39
97,astropy/astropy,376,29,2019-07-13 21:01:39
98,astropy/astropy,154,19,2019-08-12 21:01:39
99,astropy/astropy,538,30,2019-09-11 21:01:39
100,astropy/astropy,783,42,2019-10-11 21:01:39
101,astropy/astropy,358,21,2019-11-10 21:01:39
102,astropy/astropy,157,20,2019-12-10 21:01:39
103,astropy/astropy,192,22,2020-01-09 21:01:39
104,astropy/astropy,185,29,2020-02-08 21:01:39
105,astropy/astropy,303,31,2020-03-09 21:01:39
106,astropy/astropy,674,38,2020-04-08 21:01:39
107,astropy/astropy,282,24,2020-05-08 21:01:39
108,astropy/astropy,116,20,2020-06-07 21:01:39
109,astropy/astropy,193,22,2020-07-07 21:01:39
110,astropy/astropy,163,27,2020-08-06 21:01:39
111,astropy/astropy,191,28,2020-09-05 21:01:39
112,astropy/astropy,602,32,2020-10-05 21:01:39
113,astropy/astropy,315,23,2020-11-04 21:01:39
114,astropy/astropy,123,24,2020-12-04 21:01:39
115,astropy/astropy,122,20,2021-01-03 21:01:39
116,astropy/astropy,94,19,2021-02-02 21:01:39
117,astropy/astropy,229,17,2021-03-04 21:01:39
118,astropy/astropy,729,44,2021-04-03 21:01:39
119,astropy/astropy,252,23,2021-05-03 21:01:39
120,astropy/astropy,190,21,2021-06-02 21:01:39
121,astropy/astropy,236,19,2021-07-02 21:01:39
122,astropy/astropy,280,28,2021-08-01 21:01:39
123,astropy/astropy,185,25,2021-08-31 21:01:39
124,astropy/astropy,285,23,2021-09-30 21:01:39
125,astropy/astropy,343,20,2021-10-30 21:01:39
126,astropy/astropy,177,15,2021-11-29 21:01:39
127,astropy/astropy,288,25,2021-12-29 21:01:39
128,astropy/astropy,87,15,2022-01-28 21:01:39
129,astropy/astropy,196,26,2022-02-27 21:01:39
130,astropy/astropy,386,31,2022-03-29 21:01:39
131,astropy/astropy,143,14,2022-04-28 21:01:39
132,astropy/astropy,190,17,2022-05-28 21:01:39
133,astropy/astropy,154,18,2022-06-27 21:01:39
134,astropy/astropy,138,13,2022-07-27 21:01:39
135,astropy/astropy,335,22,2022-08-26 21:01:39
136,astropy/astropy,309,28,2022-09-25 21:01:39
137,astropy/astropy,261,22,2022-10-25 21:01:39
138,astropy/astropy,315,24,2022-11-24 21:01:39
139,astropy/astropy,211,18,2022-12-24 21:01:39
