,repo_name,commits,committers,month
0,astropy/ccdproc,3,2,2011-12-22 20:58:17
1,astropy/ccdproc,0,1,2012-01-21 20:58:17
2,astropy/ccdproc,0,1,2012-02-20 20:58:17
3,astropy/ccdproc,4,2,2012-03-21 20:58:17
4,astropy/ccdproc,0,1,2012-04-20 20:58:17
5,astropy/ccdproc,0,1,2012-05-20 20:58:17
6,astropy/ccdproc,4,1,2012-06-19 20:58:17
7,astropy/ccdproc,1,1,2012-07-19 20:58:16
8,astropy/ccdproc,3,1,2012-08-18 20:58:16
9,astropy/ccdproc,15,2,2012-09-17 20:58:16
10,astropy/ccdproc,0,1,2012-10-17 20:58:16
11,astropy/ccdproc,1,1,2012-11-16 20:58:16
12,astropy/ccdproc,0,1,2012-12-16 20:58:16
13,astropy/ccdproc,4,1,2013-01-15 20:58:16
14,astropy/ccdproc,1,1,2013-02-14 20:58:16
15,astropy/ccdproc,10,3,2013-03-16 20:58:16
16,astropy/ccdproc,0,1,2013-04-15 20:58:16
17,astropy/ccdproc,0,1,2013-05-15 20:58:16
18,astropy/ccdproc,2,1,2013-06-14 20:58:16
19,astropy/ccdproc,0,1,2013-07-14 20:58:16
20,astropy/ccdproc,1,1,2013-08-13 20:58:16
21,astropy/ccdproc,11,2,2013-09-12 20:58:16
22,astropy/ccdproc,2,1,2013-10-12 20:58:16
23,astropy/ccdproc,0,1,2013-11-11 20:58:16
24,astropy/ccdproc,0,1,2013-12-11 20:58:16
25,astropy/ccdproc,0,1,2014-01-10 20:58:16
26,astropy/ccdproc,26,5,2014-02-09 20:58:16
27,astropy/ccdproc,45,4,2014-03-11 20:58:16
28,astropy/ccdproc,53,5,2014-04-10 20:58:16
29,astropy/ccdproc,79,7,2014-05-10 20:58:16
30,astropy/ccdproc,77,5,2014-06-09 20:58:16
31,astropy/ccdproc,64,5,2014-07-09 20:58:16
32,astropy/ccdproc,15,2,2014-08-08 20:58:16
33,astropy/ccdproc,7,1,2014-09-07 20:58:16
34,astropy/ccdproc,17,3,2014-10-07 20:58:16
35,astropy/ccdproc,0,1,2014-11-06 20:58:16
36,astropy/ccdproc,0,1,2014-12-06 20:58:16
37,astropy/ccdproc,12,1,2015-01-05 20:58:16
38,astropy/ccdproc,27,3,2015-02-04 20:58:16
39,astropy/ccdproc,13,3,2015-03-06 20:58:16
40,astropy/ccdproc,11,6,2015-04-05 20:58:16
41,astropy/ccdproc,9,1,2015-05-05 20:58:16
42,astropy/ccdproc,4,1,2015-06-04 20:58:16
43,astropy/ccdproc,30,2,2015-07-04 20:58:15
44,astropy/ccdproc,17,5,2015-08-03 20:58:15
45,astropy/ccdproc,19,3,2015-09-02 20:58:15
46,astropy/ccdproc,34,5,2015-10-02 20:58:15
47,astropy/ccdproc,13,4,2015-11-01 20:58:15
48,astropy/ccdproc,10,3,2015-12-01 20:58:15
49,astropy/ccdproc,52,7,2015-12-31 20:58:15
50,astropy/ccdproc,55,9,2016-01-30 20:58:15
51,astropy/ccdproc,93,8,2016-02-29 20:58:15
52,astropy/ccdproc,16,2,2016-03-30 20:58:15
53,astropy/ccdproc,17,6,2016-04-29 20:58:15
54,astropy/ccdproc,35,4,2016-05-29 20:58:15
55,astropy/ccdproc,34,4,2016-06-28 20:58:15
56,astropy/ccdproc,15,4,2016-07-28 20:58:15
57,astropy/ccdproc,5,2,2016-08-27 20:58:15
58,astropy/ccdproc,43,5,2016-09-26 20:58:15
59,astropy/ccdproc,25,3,2016-10-26 20:58:15
60,astropy/ccdproc,65,5,2016-11-25 20:58:15
61,astropy/ccdproc,9,3,2016-12-25 20:58:15
62,astropy/ccdproc,1,1,2017-01-24 20:58:14
63,astropy/ccdproc,33,5,2017-02-23 20:58:14
64,astropy/ccdproc,33,5,2017-03-25 20:58:14
65,astropy/ccdproc,15,3,2017-04-24 20:58:14
66,astropy/ccdproc,31,7,2017-05-24 20:58:14
67,astropy/ccdproc,17,6,2017-06-23 20:58:14
68,astropy/ccdproc,42,4,2017-07-23 20:58:14
69,astropy/ccdproc,28,4,2017-08-22 20:58:14
70,astropy/ccdproc,7,3,2017-09-21 20:58:14
71,astropy/ccdproc,41,4,2017-10-21 20:58:14
72,astropy/ccdproc,18,4,2017-11-20 20:58:14
73,astropy/ccdproc,6,1,2017-12-20 20:58:14
74,astropy/ccdproc,3,1,2018-01-19 20:58:14
75,astropy/ccdproc,1,1,2018-02-18 20:58:14
76,astropy/ccdproc,14,4,2018-03-20 20:58:14
77,astropy/ccdproc,8,2,2018-04-19 20:58:14
78,astropy/ccdproc,9,5,2018-05-19 20:58:14
79,astropy/ccdproc,11,3,2018-06-18 20:58:14
80,astropy/ccdproc,17,3,2018-07-18 20:58:14
81,astropy/ccdproc,10,2,2018-08-17 20:58:14
82,astropy/ccdproc,0,1,2018-09-16 20:58:14
83,astropy/ccdproc,2,1,2018-10-16 20:58:14
84,astropy/ccdproc,22,4,2018-11-15 20:58:14
85,astropy/ccdproc,0,1,2018-12-15 20:58:14
86,astropy/ccdproc,0,1,2019-01-14 20:58:14
