,repo_name,commits,committers,month
0,astropy/photutils,3,2,2011-12-22 20:58:17
1,astropy/photutils,0,1,2012-01-21 20:58:17
2,astropy/photutils,5,1,2012-02-20 20:58:17
3,astropy/photutils,11,3,2012-03-21 20:58:17
4,astropy/photutils,13,1,2012-04-20 20:58:17
5,astropy/photutils,22,2,2012-05-20 20:58:17
6,astropy/photutils,6,2,2012-06-19 20:58:17
7,astropy/photutils,1,1,2012-07-19 20:58:16
8,astropy/photutils,3,1,2012-08-18 20:58:16
9,astropy/photutils,64,3,2012-09-17 20:58:16
10,astropy/photutils,0,1,2012-10-17 20:58:16
11,astropy/photutils,20,2,2012-11-16 20:58:16
12,astropy/photutils,2,1,2012-12-16 20:58:16
13,astropy/photutils,9,1,2013-01-15 20:58:16
14,astropy/photutils,1,1,2013-02-14 20:58:16
15,astropy/photutils,13,3,2013-03-16 20:58:16
16,astropy/photutils,0,1,2013-04-15 20:58:16
17,astropy/photutils,0,1,2013-05-15 20:58:16
18,astropy/photutils,2,1,2013-06-14 20:58:16
19,astropy/photutils,0,1,2013-07-14 20:58:16
20,astropy/photutils,1,1,2013-08-13 20:58:16
21,astropy/photutils,7,1,2013-09-12 20:58:16
22,astropy/photutils,5,1,2013-10-12 20:58:16
23,astropy/photutils,0,1,2013-11-11 20:58:16
24,astropy/photutils,0,1,2013-12-11 20:58:16
25,astropy/photutils,9,2,2014-01-10 20:58:16
26,astropy/photutils,37,7,2014-02-09 20:58:16
27,astropy/photutils,10,4,2014-03-11 20:58:16
28,astropy/photutils,15,4,2014-04-10 20:58:16
29,astropy/photutils,191,9,2014-05-10 20:58:16
30,astropy/photutils,121,7,2014-06-09 20:58:16
31,astropy/photutils,112,3,2014-07-09 20:58:16
32,astropy/photutils,127,6,2014-08-08 20:58:16
33,astropy/photutils,157,3,2014-09-07 20:58:16
34,astropy/photutils,74,2,2014-10-07 20:58:16
35,astropy/photutils,40,2,2014-11-06 20:58:16
36,astropy/photutils,164,6,2014-12-06 20:58:16
37,astropy/photutils,53,3,2015-01-05 20:58:16
38,astropy/photutils,51,3,2015-02-04 20:58:16
39,astropy/photutils,8,3,2015-03-06 20:58:16
40,astropy/photutils,8,3,2015-04-05 20:58:16
41,astropy/photutils,12,1,2015-05-05 20:58:16
42,astropy/photutils,4,2,2015-06-04 20:58:16
43,astropy/photutils,33,4,2015-07-04 20:58:15
44,astropy/photutils,0,1,2015-08-03 20:58:15
45,astropy/photutils,1,1,2015-09-02 20:58:15
46,astropy/photutils,14,3,2015-10-02 20:58:15
47,astropy/photutils,37,3,2015-11-01 20:58:15
48,astropy/photutils,112,3,2015-12-01 20:58:15
49,astropy/photutils,47,3,2015-12-31 20:58:15
50,astropy/photutils,93,5,2016-01-30 20:58:15
51,astropy/photutils,27,5,2016-02-29 20:58:15
52,astropy/photutils,25,3,2016-03-30 20:58:15
53,astropy/photutils,9,2,2016-04-29 20:58:15
54,astropy/photutils,89,5,2016-05-29 20:58:15
55,astropy/photutils,92,4,2016-06-28 20:58:15
56,astropy/photutils,67,4,2016-07-28 20:58:15
57,astropy/photutils,87,4,2016-08-27 20:58:15
58,astropy/photutils,97,4,2016-09-26 20:58:15
59,astropy/photutils,130,6,2016-10-26 20:58:15
60,astropy/photutils,55,4,2016-11-25 20:58:15
61,astropy/photutils,25,2,2016-12-25 20:58:15
62,astropy/photutils,48,4,2017-01-24 20:58:14
63,astropy/photutils,125,5,2017-02-23 20:58:14
64,astropy/photutils,50,2,2017-03-25 20:58:14
65,astropy/photutils,13,3,2017-04-24 20:58:14
66,astropy/photutils,29,3,2017-05-24 20:58:14
67,astropy/photutils,7,2,2017-06-23 20:58:14
68,astropy/photutils,58,5,2017-07-23 20:58:14
69,astropy/photutils,0,1,2017-08-22 20:58:14
70,astropy/photutils,110,4,2017-09-21 20:58:14
71,astropy/photutils,52,5,2017-10-21 20:58:14
72,astropy/photutils,2,2,2017-11-20 20:58:14
73,astropy/photutils,4,3,2017-12-20 20:58:14
74,astropy/photutils,35,2,2018-01-19 20:58:14
75,astropy/photutils,12,2,2018-02-18 20:58:14
76,astropy/photutils,69,1,2018-03-20 20:58:14
77,astropy/photutils,37,1,2018-04-19 20:58:14
78,astropy/photutils,0,2,2018-05-19 20:58:14
79,astropy/photutils,17,2,2018-06-18 20:58:14
80,astropy/photutils,205,4,2018-07-18 20:58:14
81,astropy/photutils,23,3,2018-08-17 20:58:14
82,astropy/photutils,36,5,2018-09-16 20:58:14
83,astropy/photutils,25,4,2018-10-16 20:58:14
84,astropy/photutils,64,3,2018-11-15 20:58:14
85,astropy/photutils,8,5,2018-12-15 20:58:14
86,astropy/photutils,0,1,2019-01-14 20:58:14
87,astropy/photutils,18,2,2019-02-13 20:58:14
88,astropy/photutils,59,6,2019-03-15 20:58:14
89,astropy/photutils,56,5,2019-04-14 20:58:14
90,astropy/photutils,134,5,2019-05-14 20:58:14
91,astropy/photutils,110,1,2019-06-13 20:58:14
92,astropy/photutils,127,8,2019-07-13 20:58:14
93,astropy/photutils,108,7,2019-08-12 20:58:14
94,astropy/photutils,25,2,2019-09-11 20:58:14
95,astropy/photutils,8,2,2019-10-11 20:58:14
96,astropy/photutils,61,7,2019-11-10 20:58:14
97,astropy/photutils,6,2,2019-12-10 20:58:14
98,astropy/photutils,8,4,2020-01-09 20:58:14
99,astropy/photutils,16,2,2020-02-08 20:58:14
100,astropy/photutils,4,3,2020-03-09 20:58:14
101,astropy/photutils,34,5,2020-04-08 20:58:14
102,astropy/photutils,15,2,2020-05-08 20:58:14
103,astropy/photutils,3,2,2020-06-07 20:58:14
104,astropy/photutils,24,2,2020-07-07 20:58:14
105,astropy/photutils,28,2,2020-08-06 20:58:14
106,astropy/photutils,92,2,2020-09-05 20:58:14
107,astropy/photutils,56,7,2020-10-05 20:58:14
108,astropy/photutils,18,3,2020-11-04 20:58:14
109,astropy/photutils,10,3,2020-12-04 20:58:14
110,astropy/photutils,120,7,2021-01-03 20:58:14
111,astropy/photutils,111,1,2021-02-02 20:58:14
112,astropy/photutils,126,7,2021-03-04 20:58:14
113,astropy/photutils,21,1,2021-04-03 20:58:14
114,astropy/photutils,37,1,2021-05-03 20:58:14
115,astropy/photutils,16,1,2021-06-02 20:58:14
116,astropy/photutils,0,1,2021-07-02 20:58:14
117,astropy/photutils,37,1,2021-08-01 20:58:14
118,astropy/photutils,143,2,2021-08-31 20:58:14
119,astropy/photutils,9,1,2021-09-30 20:58:14
120,astropy/photutils,55,2,2021-10-30 20:58:14
121,astropy/photutils,47,1,2021-11-29 20:58:14
122,astropy/photutils,22,2,2021-12-29 20:58:14
123,astropy/photutils,26,1,2022-01-28 20:58:14
124,astropy/photutils,169,2,2022-02-27 20:58:14
125,astropy/photutils,10,1,2022-03-29 20:58:14
126,astropy/photutils,53,1,2022-04-28 20:58:14
127,astropy/photutils,126,1,2022-05-28 20:58:14
128,astropy/photutils,110,1,2022-06-27 20:58:14
129,astropy/photutils,10,1,2022-07-27 20:58:14
130,astropy/photutils,23,1,2022-08-26 20:58:14
131,astropy/photutils,38,2,2022-09-25 20:58:14
132,astropy/photutils,116,2,2022-10-25 20:58:14
133,astropy/photutils,103,3,2022-11-24 20:58:14
134,astropy/photutils,10,1,2022-12-24 20:58:14
