,repo_name,commits,committers,month
0,astropy/regions,14,1,2015-05-15 18:52:41
1,astropy/regions,0,1,2015-06-14 18:52:41
2,astropy/regions,0,1,2015-07-14 18:52:40
3,astropy/regions,0,1,2015-08-13 18:52:40
4,astropy/regions,0,1,2015-09-12 18:52:40
5,astropy/regions,0,1,2015-10-12 18:52:40
6,astropy/regions,0,1,2015-11-11 18:52:40
7,astropy/regions,0,1,2015-12-11 18:52:40
8,astropy/regions,0,1,2016-01-10 18:52:40
9,astropy/regions,0,1,2016-02-09 18:52:40
10,astropy/regions,98,5,2016-03-10 18:52:40
11,astropy/regions,3,1,2016-04-09 18:52:40
12,astropy/regions,12,2,2016-05-09 18:52:40
13,astropy/regions,43,5,2016-06-08 18:52:40
14,astropy/regions,53,3,2016-07-08 18:52:40
15,astropy/regions,2,2,2016-08-07 18:52:40
16,astropy/regions,2,1,2016-09-06 18:52:40
17,astropy/regions,1,1,2016-10-06 18:52:40
18,astropy/regions,96,5,2016-11-05 18:52:40
19,astropy/regions,21,4,2016-12-05 18:52:40
20,astropy/regions,18,4,2017-01-04 18:52:39
21,astropy/regions,48,4,2017-02-03 18:52:39
22,astropy/regions,1,1,2017-03-05 18:52:39
23,astropy/regions,3,3,2017-04-04 18:52:39
24,astropy/regions,72,7,2017-05-04 18:52:39
25,astropy/regions,2,1,2017-06-03 18:52:39
26,astropy/regions,4,2,2017-07-03 18:52:39
27,astropy/regions,3,2,2017-08-02 18:52:39
28,astropy/regions,0,1,2017-09-01 18:52:39
29,astropy/regions,12,3,2017-10-01 18:52:39
30,astropy/regions,6,1,2017-10-31 18:52:39
31,astropy/regions,20,1,2017-11-30 18:52:39
32,astropy/regions,9,4,2017-12-30 18:52:39
33,astropy/regions,6,5,2018-01-29 18:52:39
34,astropy/regions,35,6,2018-02-28 18:52:39
35,astropy/regions,13,3,2018-03-30 18:52:39
36,astropy/regions,23,3,2018-04-29 18:52:39
37,astropy/regions,44,4,2018-05-29 18:52:39
38,astropy/regions,68,3,2018-06-28 18:52:39
39,astropy/regions,79,5,2018-07-28 18:52:39
40,astropy/regions,45,6,2018-08-27 18:52:39
41,astropy/regions,0,1,2018-09-26 18:52:39
42,astropy/regions,2,1,2018-10-26 18:52:39
43,astropy/regions,4,4,2018-11-25 18:52:39
44,astropy/regions,2,1,2018-12-25 18:52:39
45,astropy/regions,8,2,2019-01-24 18:52:39
46,astropy/regions,6,3,2019-02-23 18:52:39
47,astropy/regions,6,5,2019-03-25 18:52:39
48,astropy/regions,14,4,2019-04-24 18:52:39
49,astropy/regions,78,4,2019-05-24 18:52:39
50,astropy/regions,7,2,2019-06-23 18:52:39
51,astropy/regions,5,4,2019-07-23 18:52:39
52,astropy/regions,1,1,2019-08-22 18:52:39
53,astropy/regions,0,1,2019-09-21 18:52:39
54,astropy/regions,14,1,2019-10-21 18:52:39
55,astropy/regions,0,1,2019-11-20 18:52:39
56,astropy/regions,0,1,2019-12-20 18:52:39
57,astropy/regions,0,1,2020-01-19 18:52:39
58,astropy/regions,0,1,2020-02-18 18:52:39
59,astropy/regions,1,1,2020-03-19 18:52:39
60,astropy/regions,14,3,2020-04-18 18:52:39
61,astropy/regions,29,5,2020-05-18 18:52:39
62,astropy/regions,0,1,2020-06-17 18:52:39
63,astropy/regions,12,2,2020-07-17 18:52:39
64,astropy/regions,4,1,2020-08-16 18:52:39
65,astropy/regions,1,1,2020-09-15 18:52:39
66,astropy/regions,0,1,2020-10-15 18:52:39
67,astropy/regions,3,3,2020-11-14 18:52:39
68,astropy/regions,1,1,2020-12-14 18:52:39
69,astropy/regions,2,1,2021-01-13 18:52:39
70,astropy/regions,3,2,2021-02-12 18:52:39
71,astropy/regions,9,4,2021-03-14 18:52:39
72,astropy/regions,58,3,2021-04-13 18:52:39
73,astropy/regions,163,4,2021-05-13 18:52:39
74,astropy/regions,71,1,2021-06-12 18:52:39
75,astropy/regions,67,1,2021-07-12 18:52:39
76,astropy/regions,11,1,2021-08-11 18:52:39
77,astropy/regions,0,1,2021-09-10 18:52:39
78,astropy/regions,0,1,2021-10-10 18:52:39
79,astropy/regions,0,1,2021-11-09 18:52:39
80,astropy/regions,21,3,2021-12-09 18:52:39
81,astropy/regions,26,2,2022-01-08 18:52:39
82,astropy/regions,132,1,2022-02-07 18:52:39
83,astropy/regions,40,1,2022-03-09 18:52:39
84,astropy/regions,10,1,2022-04-08 18:52:39
85,astropy/regions,15,1,2022-05-08 18:52:39
86,astropy/regions,7,1,2022-06-07 18:52:39
87,astropy/regions,6,2,2022-07-07 18:52:39
88,astropy/regions,0,1,2022-08-06 18:52:39
89,astropy/regions,5,2,2022-09-05 18:52:39
90,astropy/regions,37,3,2022-10-05 18:52:39
91,astropy/regions,0,1,2022-11-04 18:52:39
92,astropy/regions,20,1,2022-12-04 18:52:39
93,astropy/regions,2,1,2023-01-03 18:52:39
94,astropy/regions,3,1,2023-02-02 18:52:39
95,astropy/regions,8,2,2023-03-04 18:52:39
96,astropy/regions,2,1,2023-04-03 18:52:39
97,astropy/regions,2,2,2023-05-03 18:52:39
98,astropy/regions,5,1,2023-06-02 18:52:39
99,astropy/regions,0,1,2023-07-02 18:52:39
100,astropy/regions,0,1,2023-08-01 18:52:39
101,astropy/regions,70,1,2023-08-31 18:52:39
102,astropy/regions,5,2,2023-09-30 18:52:39
