,repo_name,commits,committers,month
0,astropy/specutils,1,1,2011-10-14 16:26:30
1,astropy/specutils,0,1,2011-11-13 16:26:30
2,astropy/specutils,2,2,2011-12-13 16:26:30
3,astropy/specutils,8,2,2012-01-12 16:26:30
4,astropy/specutils,5,4,2012-02-11 16:26:30
5,astropy/specutils,3,2,2012-03-12 16:26:30
6,astropy/specutils,2,1,2012-04-11 16:26:30
7,astropy/specutils,0,1,2012-05-11 16:26:30
8,astropy/specutils,3,1,2012-06-10 16:26:30
9,astropy/specutils,1,1,2012-07-10 16:26:29
10,astropy/specutils,11,3,2012-08-09 16:26:29
11,astropy/specutils,17,2,2012-09-08 16:26:29
12,astropy/specutils,1,1,2012-10-08 16:26:29
13,astropy/specutils,1,1,2012-11-07 16:26:29
14,astropy/specutils,0,1,2012-12-07 16:26:29
15,astropy/specutils,4,2,2013-01-06 16:26:29
16,astropy/specutils,1,2,2013-02-05 16:26:29
17,astropy/specutils,31,6,2013-03-07 16:26:29
18,astropy/specutils,40,5,2013-04-06 16:26:29
19,astropy/specutils,0,1,2013-05-06 16:26:29
20,astropy/specutils,16,3,2013-06-05 16:26:29
21,astropy/specutils,5,1,2013-07-05 16:26:29
22,astropy/specutils,0,1,2013-08-04 16:26:29
23,astropy/specutils,7,2,2013-09-03 16:26:29
24,astropy/specutils,43,5,2013-10-03 16:26:29
25,astropy/specutils,65,3,2013-11-02 16:26:29
26,astropy/specutils,19,4,2013-12-02 16:26:29
27,astropy/specutils,2,2,2014-01-01 16:26:29
28,astropy/specutils,12,5,2014-01-31 16:26:29
29,astropy/specutils,21,6,2014-03-02 16:26:29
30,astropy/specutils,29,4,2014-04-01 16:26:29
31,astropy/specutils,37,8,2014-05-01 16:26:29
32,astropy/specutils,91,4,2014-05-31 16:26:29
33,astropy/specutils,29,2,2014-06-30 16:26:29
34,astropy/specutils,44,2,2014-07-30 16:26:29
35,astropy/specutils,8,2,2014-08-29 16:26:29
36,astropy/specutils,5,2,2014-09-28 16:26:29
37,astropy/specutils,4,2,2014-10-28 16:26:29
38,astropy/specutils,0,1,2014-11-27 16:26:29
39,astropy/specutils,8,2,2014-12-27 16:26:29
40,astropy/specutils,0,1,2015-01-26 16:26:29
41,astropy/specutils,3,1,2015-02-25 16:26:29
42,astropy/specutils,5,2,2015-03-27 16:26:29
43,astropy/specutils,0,1,2015-04-26 16:26:29
44,astropy/specutils,4,1,2015-05-26 16:26:29
45,astropy/specutils,0,1,2015-06-25 16:26:29
46,astropy/specutils,2,1,2015-07-25 16:26:28
47,astropy/specutils,2,1,2015-08-24 16:26:28
48,astropy/specutils,0,1,2015-09-23 16:26:28
49,astropy/specutils,3,2,2015-10-23 16:26:28
50,astropy/specutils,5,1,2015-11-22 16:26:28
51,astropy/specutils,8,1,2015-12-22 16:26:28
52,astropy/specutils,156,1,2016-01-21 16:26:28
53,astropy/specutils,172,2,2016-02-20 16:26:28
54,astropy/specutils,15,2,2016-03-21 16:26:28
55,astropy/specutils,48,1,2016-04-20 16:26:28
56,astropy/specutils,74,1,2016-05-20 16:26:28
57,astropy/specutils,96,7,2016-06-19 16:26:28
58,astropy/specutils,13,4,2016-07-19 16:26:28
59,astropy/specutils,0,1,2016-08-18 16:26:28
60,astropy/specutils,7,2,2016-09-17 16:26:28
61,astropy/specutils,29,2,2016-10-17 16:26:28
62,astropy/specutils,10,1,2016-11-16 16:26:28
63,astropy/specutils,33,1,2016-12-16 16:26:28
64,astropy/specutils,0,1,2017-01-15 16:26:27
65,astropy/specutils,0,1,2017-02-14 16:26:27
66,astropy/specutils,4,1,2017-03-16 16:26:27
67,astropy/specutils,71,10,2017-04-15 16:26:27
68,astropy/specutils,11,4,2017-05-15 16:26:27
69,astropy/specutils,5,3,2017-06-14 16:26:27
70,astropy/specutils,2,2,2017-07-14 16:26:27
71,astropy/specutils,0,1,2017-08-13 16:26:27
72,astropy/specutils,8,1,2017-09-12 16:26:27
73,astropy/specutils,3,2,2017-10-12 16:26:27
74,astropy/specutils,0,1,2017-11-11 16:26:27
75,astropy/specutils,0,1,2017-12-11 16:26:27
76,astropy/specutils,14,2,2018-01-10 16:26:27
77,astropy/specutils,18,3,2018-02-09 16:26:27
78,astropy/specutils,30,4,2018-03-11 16:26:27
79,astropy/specutils,27,4,2018-04-10 16:26:27
80,astropy/specutils,74,9,2018-05-10 16:26:27
81,astropy/specutils,5,2,2018-06-09 16:26:27
82,astropy/specutils,25,4,2018-07-09 16:26:27
83,astropy/specutils,66,7,2018-08-08 16:26:27
84,astropy/specutils,275,9,2018-09-07 16:26:27
85,astropy/specutils,20,4,2018-10-07 16:26:27
86,astropy/specutils,172,12,2018-11-06 16:26:27
87,astropy/specutils,11,4,2018-12-06 16:26:27
88,astropy/specutils,13,6,2019-01-05 16:26:27
89,astropy/specutils,38,6,2019-02-04 16:26:27
90,astropy/specutils,7,5,2019-03-06 16:26:27
91,astropy/specutils,5,3,2019-04-05 16:26:27
92,astropy/specutils,0,1,2019-05-05 16:26:27
