repo_name,observation_date,stars,forks,open_issues
astropy/astropy,2023-10-12 17:11:53.562165,3971,1651,1315
astropy/astroquery,2023-10-12 17:11:53.562221,657,360,364
astropy/astropy-tutorials,2023-10-12 17:11:53.562277,274,168,128
astropy/photutils,2023-10-12 17:11:53.562199,207,123,113
astropy/specutils,2023-10-12 17:11:53.562192,152,118,187
astropy/reproject,2023-10-12 17:11:53.562300,99,62,59
astropy/ccdproc,2023-10-12 17:11:53.562332,86,84,54
astropy/pyvo,2023-10-12 17:11:53.562307,66,48,65
astropy/package-template,2023-10-12 17:11:53.562183,59,63,0
astropy/SPISEA,2023-10-12 17:11:53.562314,58,28,16
astropy/pyregion,2023-10-12 17:11:53.562134,37,36,10
astropy/astropy.github.com,2023-10-12 17:11:53.562175,37,96,48
astropy/astropy-APEs,2023-10-12 17:11:53.562339,31,32,14
astropy/astropy-helpers,2023-10-12 17:11:53.562347,28,42,0
astropy/photutils-datasets,2023-10-12 17:11:53.562370,19,20,2
astropy/montage-wrapper,2023-10-12 17:11:53.562247,17,17,11
astropy/coordinates-benchmark,2023-10-12 17:11:53.562263,11,12,13
astropy/imageutils,2023-10-12 17:11:53.562390,9,17,15
astropy/astropy-api,2023-10-12 17:11:53.562231,8,17,6
astropy/old-astropy-website-src,2023-10-12 17:11:53.562207,7,14,1
astropy/astropy-benchmarks,2023-10-12 17:11:53.562355,6,24,10
astropy/astropy4scipy2014,2023-10-12 17:11:53.562383,3,7,5
astropy/astropy-v0.2-paper,2023-10-12 17:11:53.562270,3,11,1
astropy/astropy-jenkins,2023-10-12 17:11:53.562292,2,5,1
astropy/astropy-logo,2023-10-12 17:11:53.562239,2,11,3
astropy/astropy-notebooks,2023-10-12 17:11:53.562396,2,4,2
astropy/FSA,2023-10-12 17:11:53.562362,1,1,1
astropy/astroquery-blog,2023-10-12 17:11:53.562325,1,0,1
astropy/conda-recipes-old,2023-10-12 17:11:53.562377,1,3,2
astropy/wheels,2023-10-12 17:11:53.562285,1,0,1
astropy/astropy,2023-10-18 17:37:32.961785,3973,1651,1320
astropy/astroquery,2023-10-18 17:37:32.961823,658,361,365
astropy/astropy-tutorials,2023-10-18 17:37:32.961853,274,168,128
astropy/photutils,2023-10-18 17:37:32.961808,207,123,113
astropy/specutils,2023-10-18 17:37:32.961801,152,118,187
astropy/reproject,2023-10-18 17:37:32.961866,99,62,60
astropy/ccdproc,2023-10-18 17:37:32.961884,86,84,54
astropy/pyvo,2023-10-18 17:37:32.961871,66,48,65
astropy/package-template,2023-10-18 17:37:32.961795,59,63,0
astropy/SPISEA,2023-10-18 17:37:32.961875,59,28,16
astropy/pyregion,2023-10-18 17:37:32.961759,37,36,10
astropy/astropy.github.com,2023-10-18 17:37:32.961790,37,97,49
astropy/astropy-APEs,2023-10-18 17:37:32.961889,31,32,14
astropy/astropy-helpers,2023-10-18 17:37:32.961893,28,42,0
astropy/photutils-datasets,2023-10-18 17:37:32.961906,19,20,2
astropy/montage-wrapper,2023-10-18 17:37:32.961839,17,17,11
astropy/coordinates-benchmark,2023-10-18 17:37:32.961843,11,12,13
astropy/imageutils,2023-10-18 17:37:32.961918,9,17,15
astropy/astropy-api,2023-10-18 17:37:32.961830,8,17,6
astropy/old-astropy-website-src,2023-10-18 17:37:32.961813,7,14,1
astropy/astropy-benchmarks,2023-10-18 17:37:32.961898,6,24,10
astropy/astropy4scipy2014,2023-10-18 17:37:32.961914,3,7,5
astropy/astropy-v0.2-paper,2023-10-18 17:37:32.961849,3,11,1
astropy/astropy-jenkins,2023-10-18 17:37:32.961861,2,5,1
astropy/astropy-logo,2023-10-18 17:37:32.961835,2,11,3
astropy/astropy-notebooks,2023-10-18 17:37:32.961927,2,4,2
astropy/FSA,2023-10-18 17:37:32.961901,1,1,1
astropy/astroquery-blog,2023-10-18 17:37:32.961880,1,0,1
astropy/conda-recipes-old,2023-10-18 17:37:32.961910,1,3,2
astropy/wheels,2023-10-18 17:37:32.961857,1,0,1
astropy/astropy,2023-10-26 04:47:26.615344,3994,1655,1313
astropy/astroquery,2023-10-26 04:47:26.615361,660,366,366
astropy/astropy-tutorials,2023-10-26 04:47:26.615372,274,168,128
astropy/photutils,2023-10-26 04:47:26.615357,207,123,113
astropy/specutils,2023-10-26 04:47:26.615355,152,118,188
astropy/reproject,2023-10-26 04:47:26.615378,99,62,56
astropy/ccdproc,2023-10-26 04:47:26.615385,86,84,54
astropy/pyvo,2023-10-26 04:47:26.615380,67,48,64
astropy/package-template,2023-10-26 04:47:26.615349,59,63,0
astropy/SPISEA,2023-10-26 04:47:26.615382,59,29,16
astropy/pyregion,2023-10-26 04:47:26.615336,37,36,10
astropy/astropy.github.com,2023-10-26 04:47:26.615347,37,98,51
astropy/astropy-APEs,2023-10-26 04:47:26.615387,31,32,13
astropy/astropy-helpers,2023-10-26 04:47:26.615389,28,42,0
astropy/photutils-datasets,2023-10-26 04:47:26.615394,19,20,2
